"","Country","Q1_2020_cases","Q2_2020_cases","Q3_2020_cases","Q1rate100kcases","Q2rate100kcases","Q3rate100kcases","Q1_2020_deaths","Q2_2020_deaths","Q3_2020_deaths","Q1rate100kdeaths","Q2rate100kdeaths","Q3rate100kdeaths","Population2018","Density2018","Urban2018"
"140","San Marino",236,698,732,698.534852745301,2066.00562379754,2166.64200088797,26,42,42,76.9572295397366,124.315524641113,124.315524641113,33785,563.083333333333,97.226
"141","Sao Tome and Principe",0,714,911,0,338.3437268988,431.696267793847,0,13,15,0,6.16031995754118,7.10806148947059,211028,219.820833333333,72.803
"142","Saudi Arabia",1563,190823,334605,4.63798949001314,566.241246610863,992.894736600031,10,1649,4768,0.029673637172189,4.89318276969397,14.1483902036997,33699947,15.6766543082956,83.844
"143","Senegal",175,6793,14982,1.10379731506034,42.8462580640278,94.4976649956227,0,112,311,0,0.706430281638616,1.96160551419294,15854360,82.3474783150678,47.192
"144","Serbia",900,14564,33551,12.8891742965805,208.57548272822,480.494096471746,16,277,749,0.229140876383653,3.96700142239199,10.7266572757097,6982604,79.8376857992225,56.092
"145","Seychelles",10,81,144,10.334635497406,83.7105475289887,148.818751162646,0,0,0,0,0,0,96762,210.352173913043,56.691
"146","Sierra Leone",1,1462,2231,0.0130716322834808,19.110726398449,29.1628116244457,0,60,72,0,0.78429793700885,0.94115752441062,7650154,105.987170961485,42.055
"147","Singapore",926,43907,57765,16.4222948791525,778.6757033034,1024.44261738039,3,26,27,0.0532039790901268,0.461101152114433,0.478835811811141,5638676,7952.9984184018,100
"148","Slovakia",363,1667,10141,6.66449902153037,30.6052888950169,186.183704069806,0,28,48,0,0.514066040228238,0.881256068962694,5446771,113.285586522463,53.726
"149","Slovenia",802,1600,5690,38.6712146329562,77.1495553774687,274.363106311123,15,111,150,0.723277081663769,5.35225040431189,7.23277081663769,2073894,102.96366052404,54.541
"150","Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,652858,23.324687388353,23.749
"151","Somalia",5,2924,3588,0.0333152231780138,19.4827425145025,23.9070041525427,0,90,99,0,0.599674017204248,0.659641418924673,15008154,23.9234769024771,44.971
"152","South Africa",1353,151209,674339,2.34165602537171,261.699531367651,1167.08793975842,5,2657,16734,0.00865356993855031,4.59850706534563,28.9617678703402,57779622,47.6301197767684,66.355
